Time In,Time Out,Tag Category,Tag Description,Status
00:00:32,00:00:32,Drug scene,Drug scene,-
00:00:32,00:00:32,Smoking scenes,Smoking scenes,-
00:00:56,00:00:56,Smoking scenes,Smoking scenes,-
00:01:28,00:01:28,Drug scene,Drug scene,-
00:01:32,00:01:32,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:02:14,00:02:14,Smoking scenes,Smoking scenes,-
00:04:02,00:04:02,Drug scene,Drug scene,-
00:04:26.859,00:04:56.170,Profanity,['गांडो'],-
00:04:36,00:04:36,Smoking scenes,Smoking scenes,-
00:04:41,00:04:42,Drug scene,Drug scene,-
00:04:53,00:04:53,Drug scene,Drug scene,-
00:04:56.660,00:05:00.589,Profanity,['गांडू'],-
00:05:14,00:05:14,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:05:16,00:05:17,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:06:00,00:06:00,Smoking scenes,Smoking scenes,-
00:06:00,00:06:00,Drug scene,Drug scene,-
00:06:18,00:06:18,Smoking scenes,Smoking scenes,-
00:06:18,00:06:18,Drug scene,Drug scene,-
00:06:29,00:06:29,Drug scene,Drug scene,-
00:06:36,00:06:41,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:06:45,00:06:46,Drug scene,Drug scene,-
00:06:45,00:06:48,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:06:48,00:06:48,Drug scene,Drug scene,-
00:06:51,00:06:51,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:06:52,00:06:54,Drug scene,Drug scene,-
00:07:23,00:07:23,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:07:37,00:07:37,Smoking scenes,Smoking scenes,-
00:07:38,00:07:38,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:07:47,00:07:47,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:07:50,00:07:50,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:08:10,00:08:10,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:08:10,00:08:10,Smoking scenes,Smoking scenes,-
00:08:18,00:08:18,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:08:18,00:08:18,Drug scene,Drug scene,-
00:08:18,00:08:18,Smoking scenes,Smoking scenes,-
00:08:23,00:08:23,Smoking scenes,Smoking scenes,-
00:08:26,00:08:26,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:08:29,00:08:29,Drug scene,Drug scene,-
00:08:29,00:08:29,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:08:29,00:08:30,Smoking scenes,Smoking scenes,-
00:08:31,00:08:34,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:08:33,00:08:34,Smoking scenes,Smoking scenes,-
00:08:37,00:08:37,Smoking scenes,Smoking scenes,-
00:08:37,00:08:37,Alcohol Drinking Scene,Alcohol Drinking Scene,-
